site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno  
    SANTA FE,-1500773,5,"","SCB","09/17/1992","10:35","09/17/1992","10:36","OR","M038.0","S",3,1,5,"M-","",0,1,"","","","","","","","","","",15,818189,4117455,81820.11745,818189,4117455,1,.1,40,"",26.1,"",.3,"",517,"",.01,"","","","","",0,"",0,"",1,"1","0","0","0","0","0","0","0","Y","",4,135,"",4,2,26,"GSCP",47,"T","",1,"","0","","",200,"","0","9201"
    SANTA FE,-1500746,5,"","SCB","09/10/1992","14:30","09/11/1992","16:00","OR","M038.0","M",2,1,5,"M-","",25,30,"","","","","","","","","","",15,818189,4117455,81820.11745,818189,4117455,1,.1,24,"",27.1,"",.5,"",520,"","","0","","","","",0,"",0,"",2,"1","0","0","0","0","0","1","0","Y","",1,16,"",1,2,16,"GSCP",27,"T","",1,"","0","","",200,"","0","9201"
    SANTA FE,-1500722,5,"","SCB","09/08/1992","15:39","09/08/1992","15:40","OR","M035.7O","S",2,2,5,"M-","",0,1,"","","","","","","","","","",15,820513,4114510,82050.1145,820513,4114510,1,.1,33,"",28.1,"",1.3,"",522,"","","0","","","","",0,"",0,"",2,"1","0","0","1","0","0","1","0","Y","",2,28,"",2,2,1,"GSCP",33,"T","",1,"","0","","",200,"","0","9201"
        MARQ,-1500713,5,"","SCB","09/08/1992","12:45","09/08/1992","12:46","OR","M050.7","S",2,1,5,"M-","",0,1,"","","","","","","","","","",15,809127,4131395,80915.1314,809127,4131395,1,.1,34,"",30.5,"",.2,"",533,"","","0","","","","",0,"",0,"",2,"1","0","0","0","0","0","1","0","Y","",13,355,"",13,2,20,"BHCP",36,"T","",1,"","0","","",200,"","0","9201"
        MARQ,-1500709,5,"","SCB","09/08/1992","11:07","09/08/1992","11:08","OR","M048.0","S",2,1,5,"M-","",0,1,"","","","","","","","","","",15,810930,4128917,81095.1289,810930,4128917,1,.1,24,"",28,"",.2,"",550,"","","0","","","","",0,"",0,"",3,"1","0","0","0","0","0","0","0","Y","",1,27,"",1,2,1,"GSCP",28,"T","",1,"","0","","",200,"","0","9201"
,-1500647,5,"","TRI","08/17/1992","13:05","08/18/1992","11:45","OR","BM00.7","M",2,1,5,"M-","",22,40,"","","","","","","","","","",15,808267,4164557,80825.16455,808267,4164557,1,.1,38,"",26.9,"",1.1,"",979,"",.17,"","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",17,1195,"",14,2,25,"BHCP",20,"T","",1,"","0","","",200,"","0","9201"
,-1500646,5,"","MCB-W","08/17/1992","12:45","08/18/1992","10:30","OR","M075.1","M",2,1,5,"M-","",21,45,"","","","","","","","","","",15,807489,4163004,80750.163,807489,4163004,1,.1,9,"",27.3,"",.4,"",529,"",.23,"","","","","",0,"",0,"",1,"0","1","0","0","0","0","1","0","Y","",5,108,"",5,2,16,"BHCP",23,"T","",1,"","0","","",200,"","0","9201"
,-1500634,5,"","TRI","08/13/1992","13:04","08/13/1992","13:19","OR","BM00.7","D",2,1,5,"M-",200,0,15,5556,5542,163,"",34,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,57,"",28,"",1.1,"",830,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",3,79,"",3,2,28,"BHCP",21,"T","",1,"","0","","",200,"","0","9201"
,-1500584,5,"","TRI","07/27/1992","11:30","07/27/1992","11:45","OR","BM00.7","D",1,1,5,"M-",200,0,15,4514,4524,156,"",29,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,51,"",29.5,"",1.8,"",615,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",9,267,"",9,2,21,"BHCP",15,"T","",1,"","0","","",200,"","0","9201"
,-1500584,5,"","TRI","07/27/1992","11:30","07/27/1992","11:45","OR","BM00.7","D",1,1,5,"M-",200,0,15,4514,4524,156,"",29,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,51,"",29.5,"",1.8,"",615,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",9,267,"",9,2,22,"BHCP",14,"T","",1,"","0","","",200,"","0","9201"
,-1500584,5,"","TRI","07/27/1992","11:30","07/27/1992","11:45","OR","BM00.7","D",1,1,5,"M-",200,0,15,4514,4524,156,"",29,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,51,"",29.5,"",1.8,"",615,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",9,267,"",9,2,23,"BHCP",16,"T","",1,"","0","","",200,"","0","9201"
,-1500584,5,"","TRI","07/27/1992","11:30","07/27/1992","11:45","OR","BM00.7","D",1,1,5,"M-",200,0,15,4514,4524,156,"",29,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,51,"",29.5,"",1.8,"",615,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",9,267,"",9,2,24,"BHCP",20,"T","",1,"","0","","",200,"","0","9201"
,-1500584,5,"","TRI","07/27/1992","11:30","07/27/1992","11:45","OR","BM00.7","D",1,1,5,"M-",200,0,15,4514,4524,156,"",29,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,51,"",29.5,"",1.8,"",615,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",9,267,"",9,2,25,"BHCP",19,"T","",1,"","0","","",200,"","0","9201"
,-1500584,5,"","TRI","07/27/1992","11:30","07/27/1992","11:45","OR","BM00.7","D",1,1,5,"M-",200,0,15,4514,4524,156,"",29,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,51,"",29.5,"",1.8,"",615,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",9,267,"",9,2,26,"BHCP",20,"T","",1,"","0","","",200,"","0","9201"
,-1500584,5,"","TRI","07/27/1992","11:30","07/27/1992","11:45","OR","BM00.7","D",1,1,5,"M-",200,0,15,4514,4524,156,"",29,"",60,"",25,"",15,808267,4164557,80825.16455,808267,4164557,1,.1,51,"",29.5,"",1.8,"",615,"","","5","","","","",0,"",0,"",1,"1","0","0","0","0","0","1","0","Y","",9,267,"",9,2,27,"BHCP",19,"T","",1,"","0","","",200,"","0","9201"
     BEDROCK,-1500545,5,"","SCB","07/17/1992","10:06","07/17/1992","10:07","OR","M077.9","S",1,4,5,"M-","",0,1,"","","","","","","","","","",15,807337,4167389,80735.1674,807337,4167389,1,.1,8,"",27,"",1,"",482,"","","5","","","","",0,"",0,"",4,"0","0","0","0","0","0","0","0","Y","",2,12,"",2,2,7,"BHCP",21,"T","",1,"","0","","",200,"","0","9201"
,-1400989,4,"","BWC-S","10/21/1992","22:58","10/21/1992","23:13","26","M235.5","N",3,2,5,"M-",200,0,15,4400,4410,245,"",18,"",60,"",25,"",15,703020,4311113,70300.3111,703020,4311113,"","","","",13.3,"",.3,"",436,"",.08,"","","","","",0,"",0,"",2,"0","0","0","0","0","0","0","0","N","",2,58,"",1,1,1,"GSCP",716,"","",1,"","","","",301,"","0","9201"
,-1400785,4,"","MCB-W","09/12/1991","12:15","","","26","M237.4T","D",2,2,5,"M-",200,0,15,3600,3610,190,"",19,"",60,"",25,"",15,701569,4313786,70155.3138,701569,4313786,"","",41,"",27.9,"",1,"",400,"",.01,"","","","","","","","","","","","","","","","","","","","","",168,"","","","","BHCP",648,"T","",1,3600,"","","","","","0","9101"
,-1400522,4,"","IMP-S","09/23/1991","08:45","","","26","M202.2R","D",3,1,5,"M-",200,0,15,4050,4085,215,"",19,"",60,"",25,"",15,743830,4306204,74385.3062,743830,4306204,"","",50,"",19.3,"",1,"",430,"",0,"","","","","","","","","","","","","","","","","","","","","",270,"","","","","GSCP",505,"T","",1,1925,"","","","","","0","9101"
,-1400465,4,"","IMP-O","08/12/1991","13:20","","","26","M202.0N","X",2,2,5,"M-","",20,0,"","","","","","","","","","",15,744608,4306093,74460.3061,744608,4306093,"","",72,"",29.8,"",1.5,"","","",0,"","","","","","","","","","","","","","","","","","","","","",263,"","","","","GSCP",717,"T","",1,4250,"","","","","","0","9101"
,-1400251,4,"","BWC-S","07/13/1992","21:10","07/13/1992","21:27","26","M206.0","N",1,2,5,"M-",200,0,17,3700,3717,177,"",21,"",60,"",25,"",15,739883,4309158,73990.30915,739883,4309158,"","","","",31.4,"",.5,"",422,"",0,"","","","","",0,"",0,"",1,"1","0","0","0","0","0","0","0","Y","",6,207,"",1,1,4,"GSCP",495,"","",1,1950,"","","",300,"","0","9201"
,-1400234,4,"","BWC-S","06/29/1992","11:50","06/30/1992","09:00","26","M237.2","F",1,1,5,"M-","",21,10,"","","","","","","","","","",15,701479,4312929,70150.31295,701479,4312929,"","",17,"",28.1,"",1,"",441,"",.05,"","","","","",0,"",0,"",2,"0","0","0","0","0","0","0","0","N","",1,19,"",1,1,15,"BHCP",665,"","",1,4250,"","","",300,"","0","9201"
,-1400122,4,"","TWZ","08/20/1992","09:50","08/21/1992","10:30","26","M241.4","M",2,2,5,"M-","",24,40,"","","","","","","","","","",15,700901,4318928,70090.31895,700901,4318928,"","",23,"",25,"",.5,"",460,"",.3,"","","","","",0,"",0,"",1,"0","0","0","0","0","0","0","0","Y","",3,38,"",3,2,4,"GSCP",25,"","",1,"","","","",301,"","0","9201"
,11000737,1,0,"BWC-O","09/26/1994","09:40","09/27/1994","09:15","04","T2.RS","TA",3,"",5,"M-","",23,35,"","","","","","","","","","",15,579445,4912895,57945.9129,579445,4912895,1,.1,68,"",19.5,"",1,"","","",.13,"","","","","","",2,"",2,2,"1","0","0","0","0","0","0","0","N","",1,3,"",1,1,1,"GSCP",840,"",2,1,"","","","",555,3,"0","9401"
,14000083,4,1,"BWC-S","10/18/1993","10:25","10/19/1993","09:25","26","F39A.RS","F",3,"",5,"M-","",23,0,"","","","","","","","","","",15,737770,4309385,73775.3094,737770,4309385,1,.2,20,"",15.2,"",1,"",435,"",0,"","","","","","","","",0,2,"1","0","0","0","0","0","0","0","N","",2,75,"",1,1,6,"BHCP",305,"","",1,360,"","","",300,36,"0","9301"
,14000378,4,0,"SCB","06/28/1994","12:55","06/28/1994","13:10","26","D13.RS","D",1,"",5,"M-",200,0,15,3100,3060,170,"",18,"",60,"",25,"",15,713720,4306485,71370.3065,713720,4306485,1,.2,17,"",53.8,"1",1.4,"",410,"",.54,"","","","","","","","",0,4,"0","0","0","0","0","0","0","0","N","",4,106,"",4,1,3,"GSCP",170,"",1,1,"","","","",402,9,"0","9401"
,14000446,4,0,"BWC-O","08/01/1994","13:45","08/03/1994","12:45","26","H14.RS","HL",2,"",5,"M-","",47,0,"","","","","","","","","","",15,739270,4309385,73925.3094,739270,4309385,1,.2,30,"",30,"",.8,"",391,"",0,"","","","","","","","",0,1,"0","0","0","0","0","0","0","0","N","",2,37,"",1,1,3,"BHCP",480,"",1,1,"","","","",300,33,"0","9401"
,14000446,4,0,"BWC-O","08/01/1994","13:45","08/03/1994","12:45","26","H14.RS","HL",2,"",5,"M-","",47,0,"","","","","","","","","","",15,739270,4309385,73925.3094,739270,4309385,1,.2,30,"",30,"",.8,"",391,"",0,"","","","","","","","",0,1,"0","0","0","0","0","0","0","0","N","",2,37,"",1,1,4,"BHCP",590,"",1,1,"","","","",300,33,"0","9401"
,14000446,4,0,"BWC-O","08/01/1994","13:45","08/03/1994","12:45","26","H14.RS","HL",2,"",5,"M-","",47,0,"","","","","","","","","","",15,739270,4309385,73925.3094,739270,4309385,1,.2,30,"",30,"",.8,"",391,"",0,"","","","","","","","",0,1,"0","0","0","0","0","0","0","0","N","",2,37,"",1,1,5,"BHCP",430,"",1,1,"","","","",300,33,"0","9401"
